Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
70,1.4,1.26,1.08,1.0,1.24,1.64,5.5,1.22
71,6.95,1.63,2.01,1.63,1.27,5.5,10.0,2.75
72,1.64,1.0,1.17,2.6,1.54,1.64,5.5,1.89
73,1.19,2.65,1.0,1.14,1.54,2.12,5.5,2.28
74,6.3,3.81,10.0,4.19,2.32,6.3,10.0,10.0
75,1.64,2.61,1.08,1.0,1.38,1.48,5.5,1.64
76,1.32,1.0,1.0,1.0,1.21,1.64,5.5,1.2
77,3.73,1.53,1.08,2.85,1.23,3.73,10.0,2.36
78,1.64,2.61,1.59,5.02,1.43,1.64,10.0,2.0
79,1.64,2.93,1.25,2.44,1.46,1.64,10.0,1.46
80,3.25,2.84,1.25,1.59,1.45,2.93,10.0,2.11
81,2.12,4.31,2.09,6.09,1.47,2.12,10.0,2.55
82,2.12,2.29,2.01,2.05,2.04,1.32,10.0,2.39
83,3.57,2.45,1.34,3.3,1.34,3.57,5.5,2.93
84,1.96,1.86,1.34,1.57,1.36,1.8,10.0,1.51
85,1.64,2.29,1.34,2.23,1.75,1.48,10.0,1.6
86,1.96,1.32,1.34,1.0,1.33,2.77,10.0,2.07
87,2.02,1.95,1.59,3.01,1.15,4.05,10.0,2.61
88,1.13,1.0,1.0,1.09,1.21,4.21,5.5,2.16
89,6.62,1.7,1.25,1.08,1.25,6.62,10.0,2.29
90,1.24,1.43,1.42,2.69,1.57,1.48,10.0,1.69
91,2.93,2.18,1.76,7.04,1.24,2.93,10.0,3.48
92,6.95,1.76,1.0,3.64,1.21,6.95,5.5,4.5
93,4.54,1.7,1.0,1.0,1.21,4.54,5.5,1.78
94,1.16,3.57,1.34,4.95,1.75,1.16,10.0,1.48
95,1.38,2.65,1.59,1.53,1.24,1.96,5.5,2.53
96,2.93,2.39,1.59,1.87,1.16,2.61,10.0,1.7
97,1.8,1.71,3.1,2.58,1.82,4.21,10.0,3.72
98,1.88,1.58,1.0,1.18,1.26,2.77,5.5,1.57
99,5.18,1.0,1.08,1.23,1.34,5.18,5.5,2.31
100,1.48,1.86,1.59,4.66,2.25,1.48,10.0,1.58
101,2.61,1.64,1.08,1.0,1.25,2.61,10.0,1.29
102,1.16,2.29,1.0,3.11,7.32,1.16,5.5,2.1
103,1.48,1.86,1.17,1.37,1.21,1.48,10.0,1.39
104,2.93,1.0,1.5,2.86,1.92,2.61,5.5,3.3
105,2.29,1.32,1.42,1.0,1.31,2.29,10.0,1.65
106,2.77,2.05,1.67,1.67,1.21,2.29,10.0,1.42
